Book Title,Author,Author VIAF Number,Translator,Translator VIAF Number,Publisher,University Press,University_Press_STND,Translator on Cover,Translator_on_Cover_STND,Trans_Pub_Date,Trans_Publication_Country,Language ,Original_Pub_Date,Original_Publication_Country,Author Gender,Author_Gender,Author_Residence,Author_Latitude,Author_Longitude,Translator Gender,Trans_Gender,Trans_Residence,Trans_Latitude,Trans_Longitude,Text_Type,Pages_in_Translation,Pages_in_Paratexts,Paratexts Type,Glossary or Notes,Glossary_or_Notes_STND,No._of_terms_in_Glossary_or_Notes,Examples_Words_in_Glossary_or_Notes,Religious Glossary Terms,Religious_Glossary_Terms_STND (Y/N=1/0),Food Glossary Terms,Food_Glossary_Terms_STND (Y/N=1/0),Clothing Glossary Terms,Clothing_Glossary_Terms_STND (Y/N=1/0),Culture or Customs in Glossary,Culture_or_Customs_in_Glossary_STND (Y/N=1/0),Historical_Figures_in_Glossary_STND (Y/N=1/0),Awards_in_Original,Awards_in_Trans
"Saraya, the Ogre's Daughter: A Palestinian Fairy Tale","Habiby, Emile",100267620,"Theroux, Peter ",92000990,Ibis Editions,N,0,Y,1,2006,Israel,Arabic,1991,Israel,M,1,Israel,31.046051,34.851612,M,1,USA,37.09024,-95.712891,Novel,195,,"Introduction,   Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Where Prophets Are Killed,"Hadad, Lotfi",66781123,"Jishi, Zahra & Salem, Reem","187223165??, -",PublishAmerica,N,0,N,0,2007,USA,Arabic,1992,Lebanon,M,1,Syria,34.802075,38.996815,F,0,"USA, Saudi Arabia",38.9013301,-77.2240457,Novellas,193,,"Contents Page,   Dedication,   Endnotes,   Author's Note",Y (Notes),1,9,famous Arab singers/other figures,-,0,-,0,-,0,-,0,1,-,-
Throne and Stream,"Hadi, Maysalun",65696762,Unacknowledged,-,Katara,N,0,N,0,2016,Qatar,Arabic,2015,Qatar,F,0,Iraq,33.223191,43.679291,-,-,-,,,Novel,177,,"Index,    Author Works",N,0,-,-,-,0,-,0,-,0,-,0,0,Katara Prize for Arabic Novel 2015,-
The Book of Safety,"Hafez, Yasser Abdel",78527100,"Moger, Robin ",121559456,Hoopoe,Y,1,Y,1,2017,Egypt,Arabic,2013,Egypt,M,1,Egypt,26.820553,30.802498,M,1,South Africa,-30.559482,22.937506,Novel,276,,"Quotation,    Thanks and an invitation",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Bled Dry,"Hamdouchi, Abdelilah",46458713,"Smith, Benjamin",10150940053926601896,Hoopoe,Y,1,N,0,2017,USA,Arabic,2017,USA,M,1,Morocco,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,242,,Quotation,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Whitefly,"Hamdouchi, Abdelilah",46458713,"Smolin, Jonathan",46575729,Hoopoe,Y,1,Y,1,2016,USA,Arabic,2000,Morocco,M,1,Morocco,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,136,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Final Bet,"Hamdouchi, Abdelilah",46458713,"Smolin, Jonathan",46575729,Hoopoe,Y,1,Y,1,2016,USA,Arabic,2001,Morocco,M,1,Morocco,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,133,,Translator's Afterword,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Saint's Lamp and Other Stories,"Haqqi, Yahya",100231059,"Badawi, M. M.",19717732,"E. J. Brill, Leiden",N,0,N,0,1973,The Netherlands,Arabic,1944,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Short Stories,90,,"Contents Page,   Translator's Preface,   Footnotes",Y (Notes),1,10,"gallabiya, al-Khansa, ni'mat, atiyyat, milaya, umm Hashim",atiyyat,1,-,0,"gallabiya, milaya",1,umm hashim,1,1,-,-
The Eye with an Iron Lid,"Hetata, Sherif",32229967,(author),32229967,Onyx Press,N,0,-,0,1982,UK,Arabic,"1974, 1976",Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,407,,None,Y + Notes,1,29 (glossary); 78 (notes),"Orabi, haj, Quranic references, aish saraya, balah el sham, basboussa, fool, ghoraiba, halwa, konafa, mouloukhia, tamia, bouza, balgha, galabeya, giba, takia, class clothing, am, effendi, khamaseen, kafouri, oud, pasha, ya oustaz, zar, Egypt geography, mastaba, sayings, historical references","haj, Quranic references",1,"aish saraya, balah el sham, basboussa, fool, ghoraiba, halwa, konafa, mouloukhia, tamia, bouza",1,"balgha, galabeya, giba, takia, class clothing",1,"am, effendi, khamaseen, kafouri, oud, pasha, ya oustaz, zar, Egypt geography, mastaba, sayings, historical references",1,1,-,-
The Net ,"Hetata, Sherif",32229967,(author),32229967,Zed Books,N,0,-,0,1986,UK,Arabic,1982,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Novel,217,,"Contents Page,   Glossary,   Footnotes,   Author's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Polymath,"Himmich, Bensalem",41841460,"Allen, Roger",22256175,AUC,Y,1,Y,1,2004,Egypt,Arabic,2001,Lebanon,M,1,Morocco ,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,228,,"Dedication,   Quotation,   Author and Translator Bio,   Contents Page,   Foreword,   Translator's Afterword,   Glossary",Y,1,110,"ablaq palace, abu amir, dawadar, ibn battuta and ibn juzayy, riyah tribes, al-hallaj, mihrab, zir, maghrib","al-hallaj, mihrab, zir",1,-,0,-,0,maghrib,1,1,"Great Atlas Prize 2003, Naguib Mahfouz Medal",-
The Theocrat,"Himmich, Bensalem",41841460,"Allen, Roger",22256175,AUC,Y,1,Y,1,2005,Egypt,Arabic,1989,Lebanon,M,1,Morocco ,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,202,,"Contents Page,   Translator's Note,   Preface,   Glossary,   Bibliography,   Quotations",Y + Notes,1,28 (notes); 10 (glossary),"Notes - mostly references to other works; Glossary - 'alawite, fatimid festivals, kiswa, smoke verse, mulukhiya","alawite, kiswa, smoke verse",1,mulukhiya,1,-,0,fatmid festivals,1,0,Riyad El-Rayyes Prize 1989,-
A Muslim Suicide,"Himmich, Bensalem",41841460,"Allen, Roger",22256175,Syracuse University Press,Y,1,Y,1,2011,USA,Arabic,2007,Lebanon,M,1,Morocco ,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,390,,"Author and Translator Bio,    Appendix,   Translator's Afterword,   Glossary",Y,1,171,"abu madyan, aisha, al-bistami, hanafi, maqama, salah al-din (mostly historical figures), bismillah, jihad, ful mudammas","bismillah, jihad",1,ful mudammas,1,-,0,maqama,1,1,Naguib Mahfouz Medal,
My Torturess,"Himmich, Bensalem",41841460,"Allen, Roger",22256175,Syracuse University Press,Y,1,Y,1,2015,USA,Arabic,2010,Egypt,M,1,Morocco ,31.791702,-7.09262,M,1,USA,37.09024,-95.712891,Novel,212,,"Contents Page,   Translator's Introduction,    prelude,   Notes,   Bibliography,   Glossary,   Quotations",Y,1,34,"abu zayd, gnaoua, maquis, nahid, salafi, yaqzin","hajj, mu'allaqa, munkir and nakir",1,-,0,-,0,"gnaoua, al-mutanabbi, o mu'tasim, yaqzin",1,1,International Arabic Fiction Prize in 2011,-
Wild Mulberries,"Humaydan Younes, Iman",95232893,"Hartman, Michelle ",61797730,Interlink,N,0,Y,1,2008,USA,Arabic,2001,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Canada,56.130366,-106.346771,Novel,125,,Notes,Y (Notes),1,12,"Haara, dawwara, metteh, majlis, roqiya",roqiya,1,"metteh, mughli",1,"uqqal, kuffiyah, sitra, sirwal, mandeel",1,"haara, liwan, qabaday, dawwara, majlis",1,0,-,-
Other Lives,"Humaydan Younes, Iman",95232893,"Hartman, Michelle ",61797730,Interlink,N,0,Y,1,2014,USA,Arabic,2010,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Canada,56.130366,-106.346771,Novel,144,,"Dedication,   Notes,   Translator's Acknowledgements",N ,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Weight of Paradise,"Humaydan Younes, Iman",95232893,"Hartman, Michelle ",61797730,Interlink,N,0,Y,1,2016,USA,Arabic,2015,Lebanon,F,0,Lebanon,33.854721,35.862285,F,0,Canada,56.130366,-106.346771,Novel,238,,"Dedication,   Translator's Note,   Translator's Acknowledgements",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
B as in Beirut ,"Humaydan Younes, Iman",95232893,"Weiss, Max ",107347284,Interlink,N,0,Y,1,2008,USA,Arabic,2005,Lebanon,F,0,Lebanon,33.854721,35.862285,M,1,USA,37.09024,-95.712891,Novel,227,,"Afterword,   Translator's Acknowledgements",Y (Notes),1,11,"Inshallah, bayt, mandeel, hurma, zaim, qabu",inshallah,1,-,0,mandeel,1,"qabu, zaim",1,1,-,-
Beyond Love,"Hussein, Hadiya",21798152,"Masmoudi, Ikram",36467995,Syracuse University Press,Y,1,Y,1,2012,USA,Arabic,2004,Lebanon,F,0,Jordan,30.585164,36.238414,F,0,USA,37.09024,-95.712891,Novel,168,,"Author Bio,   Translator Bio,   Contents Page,   Foreword,   Acknowledgements,   Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
City of Wrong: A Friday in Jerusalem,"Hussein, Kamel M.",18583275,"Cragg, Kenneth",90717415,Oneworld,N,0,Y,1,1994,UK,Arabic,1957,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,191,,"Translator Bio,   Contents Page,   Translator's Preface,   Translator's Introduction,   Footnotes,   Author's Note",Y (Notes),1,25,"surahs, Quranic references, Islam explanations","surahs, Quranic references, Islam explanations",1,-,0,-,0,-,0,0,1957 National Prize in Literature (Egypt),-
The Call of the Curlew ,"Hussein, Taha",225088570,"As-Safi, A. B. ",286231578,Palm Press,N,0,N,0,1997,Egypt,Arabic,1934,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Jordan,30.585164,36.238414,Novel,111,,"Translator's Introduction,   Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Sufferers,"Hussein, Taha",225088570,"El-Zayyat, Mona ",28777160,AUC,Y,1,N,0,1993,Egypt,Arabic,1955,Egypt,M,1,Egypt,26.820553,30.802498,F,0,-,,,Short stories,145,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
A Man of Letters,"Hussein, Taha",225088570,"El-Zayyat, Mona ",286231578,AUC,Y,1,N,0,1994,Egypt,Arabic,1935,Egypt,M,1,Egypt,26.820553,30.802498,F,0,-,,,Novel,140,,"Preface,   Dedication",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Tree of Misery,"Hussein, Taha",225088570,"El-Zayyat, Mona ",286231578,Palm Press,N,0,N,0,1997,Egypt,Arabic,1944,Egypt,M,1,Egypt,26.820553,30.802498,F,0,-,,,Novel,137,,"Contents Page,   Translator's Introduction,   Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Down to the Sea,"Ibrahim, Gamil Atia",66630935,"Liardet, Frances",44578468,Quartet,N,0,N,0,1991,UK,Arabic,1986,Egypt,M,1,Switzerland,46.818188,8.227512,F,0,UK,55.378051,-3.435973,Novel,220,,"Introduction,   Author Bio,   Character List",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Stealth,"Ibrahim, Sonallah",22217459,"Aboul-Ela, Hosam",11742620,Aflame Books,N,0,N,0,2009,UK,Arabic,2007,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,199,,"Translator's Introduction,   Glossary",Y,1,30,"amsheer, fatiha, gallabiya, mulukhiya, murta, oka, ubla",fatiha,1,mulukhiya,1,gallabiya ,1,amsheer,1,0,-,-
Zaat,"Ibrahim, Sonallah",22217459,"Calderbank, Anthony",97716024,AUC,Y,1,N,0,2001,UK,Arabic,1992,Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novel,345,,"Afterword,   Author and Translator Bio",Y,1,53,"Abdel Haleem, Umm Kalsoum, bismillah, eid, hagg, halal, haram, kaaba, shariah, sunna, zakat, bastirma, bisaara, halawa, kofta, mezza, shawerma, taamiya, tirmis, higab, abla, afreet, allahu akbar, amm, effendim, al ahram, infitah, kohl, zaghrouda, ustaz, ya","bismillah, eid, hagg, halal, haram, kaaba, shariah, sunna, zakat",1,"bastirma, bisaara, halawa, kofta, mezza, shawerma, taamiya, tirmis",1,higab,1,"abla, afreet, allahu akbar, amm, effendim, al ahram, infitah, kohl, zaghrouda, ustaz, ya",1,1,-,-
That Smell and Notes from Prison,"Ibrahim, Sonallah",22217459,"Creswell, Robyn",107951509,New Directions,N,0,Y,1,2013,USA,Arabic,1966,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,91,,"Contents Page,   Translator's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Smell of it & Other Stories,"Ibrahim, Sonallah",22217459,"Johnson-Davies, Denys ",75051071,Heinemann,N,0,N,0,1971,UK,Arabic,1966,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Short stories,118,,"Glossary,   Acknowledgements,   Translator's Afterword",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
"Beirut, Beirut: A novel of love & war","Ibrahim, Sonallah",22217459,"Rossetti, Chip",256765349,Bloomsbury Qatar,N,0,N,0,2015,Qatar,Arabic,1988,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,332,,"Contents Page,   Quotation",Y,1,55,"green line, hamra street, ",-,0,"lebneh, tarbush, zaatar",1,"ghutra, hatta",1,"bey, blue bone, druze, Fairuz, fatah, fedayeen, fellah(a), sa'iqa, mourabitoun",1,1,-,-
The Committee ,"Ibrahim, Sonallah",22217459,"St. Germain, Mary & Constable, Charlene","23554220, 6739777",Syracuse University Press,Y,1,Y,1,2001,USA,Arabic,1981,Lebanon,M,1,Egypt,26.820553,30.802498,"F,F",0,"USA, Scotland",36.0431378,-79.8748196,Novel,158,,"Author's Acknowledgements,   Translator's Acknowledgements,  Translator's Note",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Grandfather's Tale,"Idilbi, Ulfat",286959,"Clark, Peter",108191551,Quartet,N,0,N,0,1998,UK,Arabic,1991,Syria,F,0,Syria,34.802075,38.996815,M,1,UK,55.378051,-3.435973,Novel,217,,"Author Bio,   Translator Bio,   Translator's Foreword,   Author's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Sabriya: Damascus Bitter Sweet,"Idilbi, Ulfat",286959,"Clark, Peter ",108191551,Interlink,N,0,Y,1,1997,Canada,Arabic,1980,Syria,F,0,France,46.227638,2.213749,M,1,UK,55.378051,-3.435973,Novel,185,,"Author Bio,   Translator Bio,    series info,   Translator's Acknowledgements",Y,1,29,"Ma'ruf al-Arna'ut, banafsha, fetta makdus, mevlevi, Qais and Laila",mevlevi,1,"awwamat, fetta makdus, numara, zilif",1,"abaya, kaffiya, kubba, kunafa, ",1,"baha, banafsha, liwan",1,1,-,-
The Piper Dies and Other Stories,"Idris, Yousef",90716257,"Cohen-Mor, Dalya",97742631,Sheba Press,N,0,Y,1,1992,USA,Arabic,1965,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Short stories,178,,"Contents Page,   Translator's Acknowledgements,   Translator's Introduction,   Footnotes",Y (Notes),1,15,-,-,0,-,0,-,0,-,0,0,-,-
Tales of Encounter,"Idris, Yusuf",90716257,"El-Enany, Rasheed",97601908,AUC,Y,1,Y,1,2012,Egypt,Arabic,"1958, 1959, 1980",Egypt,M,1,Egypt,26.820553,30.802498,M,1,UK,55.378051,-3.435973,Novellas,201,,"Translator's Note,   Translator's Introduction",Y,1,19,"historical Arab figures, dhikr circle, Fatiha, gallabiya, kuttab, maqam, shisha, Cairo geography, ya salaam!","dhikr circle, Fatiha",1,,,gallabiya,1,"kuttab, historical figures, maqam, shisha, Cairo geography, ya salaam!",1,1,-,-
A Leader of Men,"Idris, Yusuf",90716257,"Elkhadem, Saad",66508807,York,N,0,N,0,1988,Canada,Arabic,1987,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Canada,56.130366,-106.346771,Novel,19,,"Contents Page,   Translator's Preface,   Footnotes,   Author and Translator Bio,   Bibliography",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
City of Love and Ashes,"Idris, Yusuf",90716257,"Hewison, R. Neil",39483851,AUC,Y,1,N,0,1999,Egypt,Arabic,1956,Egypt,M,1,Egypt,26.820553,30.802498,M,1,"Egypt, UK",30.0394077,31.2314328,Novel,166,,"Translator's Preface,    Arabic text",N,0,-,-,-,0,-,0,-,0,-,0,0,Naguib Mahfouz Medal (1998),-
The Essential Yusuf Idris: Masterpieces of the Egyptian Short Story,"Idris, Yusuf",90716257,"Johnson-Davies, Denys",75051071,AUC,Y,1,Y,1,2009,Egypt,Arabic,Misc.,Egypt,M,1,Egypt,26.820553,30.802498,M,1,Egypt,26.820553,30.802498,Short stories,264,,"Contents Page,   Translator's Afterword,   Glossary",Y (Notes),1,31,"al-Ghazaali, small Bairam, Quranic references, hagga, Sayyeda Zeinab, dhikr, kiblah, lailat al-qadr, ma'zun, sahour, wudu', mawlids, Dimirdash, melayas, mo'allem, days, zar, 'amm, siga, umm, abu, shaykh","small Bairam, Quranic references, hagga, Sayyeda Zeinab, dhikr, kiblah, lailat al-qadr, ma'zun, sahour, wudu', mawlids, Dimirdash",1,-,0,melayas,1,"mo'allem, days, zar, 'amm, siga, umm, abu, shaykh",1,1,-,-
The Sinners,"Idris, Yusuf",90716257,"Peterson-Ishaq, Kristin ",244982615,Three Continents,N,0,Y,1,1984,USA,Arabic,1959,Egypt,M,1,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,113,,"Contents Page,   Introduction,   Footnotes",Y (Notes),1,unnumbered,-,-,0,-,0,-,0,-,0,0,-,-
The Cheapest Nights,"Idris, Yusuf",90716257,"Wassef, Wadida",248968736,Three Continents,N,0,N,0,1989,USA,Arabic,1954,Egypt,M,1,Egypt,26.820553,30.802498,F,0,Egypt,26.820553,30.802498,Short stories,196,,"Translator's Note,   Author Bio",Y (Notes),1,26,"Sheikha, shaddad, mashtah, mo'allem",shiekha,1,-,0,-,0,mo'allem,1,1,-,-
Whatever Happened to Antara?: And Other Stories ,"Ikhlassi, Walid",34611879,"Ellery, Chris & Sallah, Asmahan","54400434, 2723154",UT Austin,Y,1,N,0,2004,USA,Arabic,1992,Syria,M,1,Syria,34.802075,38.996815,"F, M",-,USA,37.09024,-95.712891,Short stories,115,,"Contents Page,   Translator's Acknowledgements,   Translator's Introduction,   Footnotes,    Interview with the Author",Y (Notes),1,8,"wadudiah, al madaa’h an-nabawiya, sheikha, Antara","wadudiah, al madaa’h an-nabawiya",1,-,0,-,0,"sheikha, Antara",1,1,-,-
The Mehlis Report,"Jaber, Rabee",76478706,"Abu-Zeid, Kareen James",-,New Directions,N,0,Y,1,2013,USA,Arabic,2005,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,USA,37.09024,-95.712891,Novel,202,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,International Arabic Fiction Prize 2012,-
Confessions,"Jaber, Rabee",76478706,"Abu-Zeid, Kareen James",-,New Directions,N,0,Y,1,2016,USA,Arabic,2008,Lebanon,M,1,Lebanon,33.854721,35.862285,M,1,USA,37.09024,-95.712891,Novel,120,,Dedication,N,0,-,-,-,0,-,0,-,0,-,0,0,International Prize for Arabic Fiction,-
Hunters in a Narrow Street ,"Jabra, Jabra Ibrahim",2436078,"Allen, Roger",22256175,Three Continents,N,0,N,0,1990,USA,Arabic,1990,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,USA,37.09024,-95.712891,Novel,227,,Translator's Introduction,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Ship,"Jabra, Jabra Ibrahim",2436078,"Allen, Roger & Haydar, Adnan","22256175, 69043114",Three Continents,N,0,Y,1,1985,USA,ِArabic,1969,Egypt,M,1,Iraq,33.223191,43.679291,"M,M",1,USA,37.09024,-95.712891,Novel,198,,"Author Bio,   Translator Bio,   Contents Page,   Translator's Afterword",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
In Search of Walid Masoud,"Jabra, Jabra Ibrahim",2436078,"Allen, Roger & Haydar, Adnan","22256175, 69043114",Syracuse University Press,Y,1,Y,1,2000,USA,Arabic,1978,Lebanon,M,1,Iraq,33.223191,43.679291,"M,M",1,USA,37.09024,-95.712891,Novel,289,,"Dedication,    Note on the Translation,   Contents Page,   Author's Introduction",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The First Well: A Bethlehem Boyhood,"Jabra, Jabra Ibrahim",2436078,"Boullata, Issa",272292988,University of Arkansas Press,Y,1,Y,1,1995,USA,Arabic,1987,UK,M,1,Iraq,33.223191,43.679291,M,1,Palestine,31.952162,35.233154,Memoir,184,,"Dedication,   Quotation,   Author and Translator Bio,   Contents Page",Y (Notes),1,8,author's footnotes,-,0,-,0,-,0,-,0,0,-,-
Princesses' Street: Baghdad Memories,"Jabra, Jabra Ibrahim",2436078,"Boullata, Issa",272292988,University of Arkansas Press,Y,1,Y,1,2005,USA,Arabic,1994,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,Palestine,31.952162,35.233154,Memoir,183,,"Translator's Preface,   Translator's Note,   Author's Preface,   Footnotes",Y (Notes),1,10,"biographical notes, translations of untranslated words, author clarifications, Desert Storm",-,0,-,0,-,0,-,0,1,-,-
The Journals of Sarab Affan,"Jabra, Jabra Ibrahim",2436078,"Nasr, Ghassan",26497946,Syracuse University Press,Y,1,Y,1,2007,USA,Arabic,1992,Lebanon,M,1,Iraq,33.223191,43.679291,M,1,USA,37.09024,-95.712891,Novel,188,,"Dedication,   Translator's Preface,   Author's Preface,   Introduction,   Footnotes",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The American Granddaughter,"Kachachi, Inaam",3622234,"Youssef, Nariman",47152501067110680511,Bloomsbury Qatar,N,0,N,0,2010,Qatar,Arabic,2008,Lebanon,F,0,France,46.227638,2.213749,F,0,UK,55.378051,-3.435973,Novel,180,,"Dedication,   Quotation,   Glossary,   Translator Bio",Y,1,40,"afreet, jeonky, mahjar poets, mejaddareh, sayyab, teshrib, yaaba, oud, tabla, bismallah, hadith, hajja, mujahid, dolma, mejaddareh, masgoof, shawermeh, tabouleh, teshrib, abaya, dishdasha, galabiyya","bismallah, hadith, hajja, mujahid",1,"dolma, mejaddareh, masgoof, shawermeh, tabouleh, teshrib",1,"abaya, dishdasha, galabiyya",1,"afreet, jeonky",1,1,Shortlisted for 2009 International Prize for Arabic Fiction,-
Cigarette Number Seven,"Kamal, Donia",157525678,"Youssef, Nariman",47152501067110680511,Hoopoe (imprint of AUC press),Y,1,Y,1,2018,Egypt,Arabic,2012,Egypt,F,0,Egypt,26.820553,30.802498,F,0,"Egypt, UK",30.0394077,31.2314328,Novel,191,,"Author Bio,   Translator Bio,   Dedication",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
All That's Left to You,"Kanafani, Ghassan",39379118,"Jayyusi, May & Reed, Jeremy","15007166, 92441683",Interlink,N,0,Y,1,2004,USA,Arabic,1966,Lebanon,M,1,Palestine,31.952162,35.233154,"M,F",-,"Israel, UK",32.0878504,34.7713073,"Novella, Short stories",128,,"Contents Page,   Acknowledgements,   Translator's Introduction,   Map",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Men in the Sun,"Kanafani, Ghassan",39379118,"Kilpatrick, Hilary",41953129,Three Continents,N,0,N,0,1991,USA,Arabic,"1956, 1958, 1961, 1962, 1969",Misc.,M,1,Palestine,31.952162,35.233154,F,0,Switzerland,46.818188,8.227512,Short stories,90,,"Acknowledgements,   Introduction,    A Clarification",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Seven Days of Man,"Kassem, Abdel-Hakim",169031,"Norment Bell, Joseph",93463990,Hydra Books (Northwestern University Press),Y,1,Y,1,1996,USA,Arabic,1969,Egypt,M,1,Egypt,26.820553,30.802498,M,1,USA,37.09024,-95.712891,Novel,218,,"Contents Page,   Quotation,   Foreword,   Translator's Preface",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
African Titanics,"Khaal, Abu Bakr",297715327,"Bredin, Charis",31150516737003442945?,Darf,N,0,Y,1,2017,UK,Arabic,2008,Lebanon,M,1,"Denmark, Eritrea",,,F,0,UK,55.378051,-3.435973,Novel,119,,"Dedication,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
Throwing Sparks,"Khal, Abdo",20905810,"Tabet, Maia & Scott, Michael K. ","107330618, 311467158",Bloomsbury Qatar,N,0,N,0,2015,Qatar,Arabic,2009,Lebanon,M,1,Saudi Arabia,23.885942,45.079162,"F,M",-,USA,37.09024,-95.712891,Novel,349,,"Quotation,   Author Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,International Prize for Arabic Fiction 2010,-
The Magic of Turquoise,"Khaled, Mai",2724690,"Elnaggar, Marwa",250939617,AUC,Y,1,Y,1,2011,Egypt,Arabic,2006,Egypt,F,0,Egypt,26.820553,30.802498,F,0,USA,37.09024,-95.712891,Novel,98,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
In Praise of Hatred,"Khalifa, Khaled",172894016,"Price, Leri ",296358690,Thomas Dunne Books (St. Martin's Press),N,0,N,0,2014,USA,Arabic,2008,Lebanon,M,1,Syria,34.802075,38.996815,F,0,UK,55.378051,-3.435973,Novel,296,,"Dedication,   Contents Page,   Character List,   Afterword,   Translator's Note,   Author Bio,   Translator Bio",N,0,-,-,-,0,-,0,-,0,-,0,0,Shortlisted for the International Prize for Arabic Fiction in 2008 ,-
No Knives in the Kitchens of This City,"Khalifa, Khaled",172894016,"Price, Leri ",296358690,Hoopoe,Y,1,Y,1,2016,USA,Arabic,2013,Egypt,M,1,Syria,34.802075,38.996815,F,0,UK,55.378051,-3.435973,Novel,215,,"Author and Translator Bio,   Author's Acknowledgements,   Notes",Y (Notes),1,4,"Hamid Badrkhan, Orhan Misar etc (names of artists and writers)",-,0,-,0,-,0,-,0,1,Naguib Mahfouz Medal,-
The Shell,"Khalifa, Mustafa",61868122,"Starkey, Paul",116022327,Interlink,N,0,Y,1,2016,USA,Arabic,2006,Lebanon,M,1,Syria,34.802075,38.996815,M,1,UK,55.378051,-3.435973,Novel,252,,None,N,0,-,-,-,0,-,0,-,0,-,0,0,-,-
The Inheritance,"Khalifa, Sahar ",14801041,"Bamia, Aida",44525532,AUC,Y,1,N,0,2005,Egypt,Arabic,1997,Lebanon,F,0,"Jordan, Palestine",31.974227,35.9072911,F,0,USA,37.09024,-95.712891,Novel,251,,"Translator's Note,   Glossary",Y,1,80,"Avicenna, awwameh, fidai, kirdan, mansaf, qazha, tabliyeh, zunud al-sitt","adhan, dhikr, al-fatiha, hajj, khatma, madhahib, mashallah, salam, shari'a, shubbayk, lubbayk, Sunna, tarawih, 'umra, waqf",1,"araq, awwameh, balouza, bisarah, falafel, ful, ka'ek, knafeh, mahaleb, mansaf, msakhkhan, mulukhiya, qazha, shawirma, tabbouleh, tamriyeh, za'tar, zunud al-sitt",1,"kirdan, kufiyeh, tarbush",1,"bushaq, dabkeh, diwan, dunum, Fairuz, fidai, haq, qirat, sitt, tabliyeh, Umm Kulthum, ya",1,1,-,-
